date	close	volume	open	high	low
5/2/2017	4.73	104003	4.65	4.75	4.62
5/1/2017	4.64	72440	4.68	4.7	4.54
4/28/2017	4.59	213117	4.68	4.72	4.54
4/27/2017	4.69	58242	4.73	4.77	4.65
4/26/2017	4.73	260403	4.7	4.77	4.65
4/25/2017	4.71	193650	4.64	4.77	4.6
4/24/2017	4.6	250568	4.61	4.65	4.49
4/21/2017	4.59	145503	4.65	4.65	4.46
4/20/2017	4.64	346735	4.55	4.68	4.4428
4/19/2017	4.49	133194	4.48	4.585	4.38
4/18/2017	4.43	245677	4.4	4.49	4.3146
4/17/2017	4.5	241209	4.24	4.55	4.1501
4/13/2017	4.2	162906	4.16	4.24	4.1
4/12/2017	4.19	143184	4.15	4.24	4.1265
4/11/2017	4.13	152589	4.15	4.24	4.04
4/10/2017	4.19	135421	4.1	4.29	4.06
4/7/2017	4.14	195225	4.16	4.22	4.01
4/6/2017	4.2	179324	4.15	4.28	4.11
4/5/2017	4.13	325109	4.2	4.38	4.02
4/4/2017	4.24	283204	4.48	4.49	4.2
4/3/2017	4.45	223412	4.56	4.56	4.32
3/31/2017	4.55	159896	4.57	4.61	4.47
3/30/2017	4.52	244984	4.62	4.62	4.46
3/29/2017	4.58	199769	4.67	4.74	4.526
3/28/2017	4.61	268656	4.82	4.88	4.55
3/27/2017	4.83	318275	4.71	4.85	4.52
3/24/2017	4.77	237108	4.52	4.8	4.52
3/23/2017	4.64	359892	4.27	4.65	4.26
3/22/2017	4.4	424627	4.5	4.615	4.24
3/21/2017	4.53	681447	4.99	5.08	4.51
3/20/2017	4.99	577805	4.94	5.13	4.7916
3/17/2017	4.95	1010383	4.76	4.97	4.51
3/16/2017	4.64	381415	4.62	4.65	4.391
3/15/2017	4.69	361760	4.65	4.79	4.62
3/14/2017	4.7	640640	4.82	4.8699	4.5
3/13/2017	5.05	3840432	5.66	5.68	5.02
3/10/2017	4.8	1587015	4.65	5.25	4.5
3/9/2017	4.54	774676	4.16	4.5799	4.07
3/8/2017	4.08	217149	4.05	4.1886	4.02
3/7/2017	3.97	294054	4.18	4.2599	3.9629
3/6/2017	4.17	136492	4.15	4.2	4.02
3/3/2017	4.2	262024	4.25	4.37	4.08
3/2/2017	4.29	244000	4.45	4.45	4.19
3/1/2017	4.38	370657	4.4	4.46	4.29
2/28/2017	4.29	345448	4.24	4.415	4.13
2/27/2017	4.18	250496	4.1	4.33	4.06
2/24/2017	4.07	307175	4.02	4.1	3.85
2/23/2017	4.02	686197	4.26	4.295	3.851
2/22/2017	4.24	770728	4.31	4.75	4.08
2/21/2017	4.38	1291435	4.18	4.66	4
2/17/2017	3.93	2600618	3.39	4.25	3.38
2/16/2017	3.39	283744	3.23	3.4	3.1607
2/15/2017	3.19	481168	3.25	3.29	3.15
2/14/2017	3.18	441771	3.01	3.29	2.99
2/13/2017	2.98	79624	2.96	2.99	2.91
2/10/2017	2.96	56159	2.935	2.98	2.92
2/9/2017	2.94	191149	2.81	2.94	2.8
2/8/2017	2.79	24697	2.8	2.82	2.78
2/7/2017	2.8	45291	2.8	2.86	2.755
2/6/2017	2.81	101518	2.87	2.9	2.71
2/3/2017	2.85	69798	2.81	2.9	2.75
2/2/2017	2.82	44190	2.86	2.86	2.795
2/1/2017	2.84	54821	2.73	2.88	2.73
1/31/2017	2.73	91901	2.76	2.82	2.68
1/30/2017	2.78	33223	2.78	2.83	2.711
1/27/2017	2.78	85380	2.8	2.835	2.75
1/26/2017	2.8	55483	2.82	2.9	2.8
1/25/2017	2.9	124089	2.89	3.03	2.85
1/24/2017	2.89	91492	2.75	2.913	2.72
1/23/2017	2.74	216774	3.01	3.08	2.54
1/20/2017	3.06	123694	3.15	3.24	3
1/19/2017	3.13	181815	3.22	3.39	3.12
1/18/2017	3.18	193172	3.03	3.29	3.03
1/17/2017	3	113598	3.03	3.09	2.975
1/13/2017	3.05	252633	2.87	3.14	2.81
1/12/2017	2.76	52001	2.84	2.89	2.7
1/11/2017	2.82	106578	2.89	2.9913	2.71
1/10/2017	2.86	75492	2.849	2.9	2.815
1/9/2017	2.83	49061	2.81	2.8358	2.74
1/6/2017	2.79	28910	2.78	2.84	2.7587
1/5/2017	2.76	42944	2.78	2.94	2.71
1/4/2017	2.73	43550	2.72	2.8	2.69
1/3/2017	2.69	22515	2.61	2.87	2.4373
12/30/2016	2.51	170681	2.61	2.61	2.4
12/29/2016	2.59	89202	2.7	2.8	2.57
12/28/2016	2.71	58752	2.87	2.95	2.69
12/27/2016	2.87	42819	2.8	2.9	2.8
12/23/2016	2.83	25463	2.77	2.89	2.72
12/22/2016	2.78	100812	2.76	2.81	2.68
12/21/2016	2.77	19190	2.74	2.8	2.7
12/20/2016	2.75	68175	2.74	2.9	2.71
12/19/2016	2.75	111000	2.73	2.9	2.7
12/16/2016	2.82	124882	2.8	2.92	2.78
12/15/2016	2.81	205160	2.82	2.89	2.65
12/14/2016	2.84	90582	2.79	2.9299	2.75
12/13/2016	2.81	109394	2.87	2.96	2.76
12/12/2016	2.89	98940	2.94	3.025	2.88
12/9/2016	2.98	109374	3.05	3.2	2.9
12/8/2016	3.02	92847	2.98	3.05	2.94
12/7/2016	2.99	96236	3.07	3.07	2.93
12/6/2016	3.05	87385	2.97	3.13	2.87
12/5/2016	2.99	298419	3.15	3.25	2.71
12/2/2016	3.11	106422	3.01	3.15	2.98
12/1/2016	3.02	214109	3	3.135	2.95
11/30/2016	2.94	145624	3.07	3.11	2.88
11/29/2016	3.09	147713	3.1	3.24	2.98
11/28/2016	3.09	310834	3.15	3.24	2.92
11/25/2016	3.18	287500	3.32	3.35	2.87
11/23/2016	3.29	828728	2.89	3.3	2.8092
11/22/2016	2.94	1468222	2.73	3.18	2.7095
