date	close	volume	open	high	low
1/18/2011	3.44	244847	3.38	3.45	3.38
1/14/2011	3.4	335184	3.32	3.42	3.32
1/13/2011	3.33	436347	3.36	3.39	3.32
1/12/2011	3.35	454667	3.42	3.45	3.32
1/11/2011	3.38	430114	3.45	3.45	3.37
1/10/2011	3.44	602024	3.49	3.49	3.42
1/7/2011	3.54	418947	3.55	3.58	3.42
1/6/2011	3.55	142376	3.53	3.56	3.52
1/5/2011	3.53	224963	3.44	3.54	3.42
1/4/2011	3.46	386125	3.58	3.58	3.42
1/3/2011	3.59	356460	3.62	3.65	3.55
12/31/2010	3.58	224965	3.57	3.64	3.57
12/30/2010	3.6	208510	3.6	3.68	3.6
12/29/2010	3.62	155616	3.66	3.68	3.61
12/28/2010	3.67	272622	3.66	3.72	3.61
12/27/2010	3.67	205730	3.63	3.69	3.57
12/23/2010	3.665	182021	3.67	3.68	3.62
12/22/2010	3.68	279775	3.67	3.69	3.5701
12/21/2010	3.67	379587	3.66	3.74	3.63
12/20/2010	3.64	361377	3.54	3.66	3.54
12/17/2010	3.54	560440	3.6	3.64	3.54
12/16/2010	3.6	396134	3.65	3.68	3.51
12/15/2010	3.61	541491	3.49	3.65	3.49
12/14/2010	3.51	828112	3.45	3.71	3.45
12/13/2010	3.44	285638	3.47	3.48	3.37
12/10/2010	3.48	454638	3.46	3.55	3.42
12/9/2010	3.46	263295	3.46	3.46	3.3
12/8/2010	3.43	310508	3.56	3.56	3.4
12/7/2010	3.51	570671	3.56	3.59	3.47
12/6/2010	3.49	771457	3.38	3.5	3.3
12/3/2010	3.35	256493	3.26	3.35	3.21
12/2/2010	3.26	408439	3.16	3.26	3.15
12/1/2010	3.16	468521	3.2	3.25	3.15
11/30/2010	3.15	396669	3.16	3.21	3.12
11/29/2010	3.19	222455	3.16	3.19	3.13
11/26/2010	3.2	84145	3.15	3.21	3.13
11/24/2010	3.18	381762	3.19	3.24	3.151
11/23/2010	3.15	414245	3.1	3.19	3.065
11/22/2010	3.14	609887	3.2	3.24	3.07
11/19/2010	3.23	1112071	3.4	3.4	3.12
11/18/2010	3.4	359575	3.39	3.4	3.28
11/17/2010	3.36	494206	3.49	3.58	3.3301
11/16/2010	3.41	423387	3.38	3.4399	3.33
11/15/2010	3.4	254476	3.43	3.49	3.4
11/12/2010	3.42	388544	3.48	3.56	3.38
11/11/2010	3.53	372605	3.39	3.54	3.31
11/10/2010	3.44	585889	3.54	3.56	3.41
11/9/2010	3.54	428308	3.58	3.65	3.53
11/8/2010	3.55	671783	3.65	3.73	3.53
11/5/2010	3.7	455650	3.77	3.7899	3.65
11/4/2010	3.8	971005	3.96	3.97	3.62
11/3/2010	3.88	271030	3.98	3.98	3.87
11/2/2010	3.94	353723	3.92	4	3.8499
11/1/2010	3.86	270014	3.94	4	3.82
10/29/2010	3.93	425562	3.8	4	3.8
10/28/2010	3.84	351703	3.84	3.92	3.8
10/27/2010	3.77	883271	3.95	3.95	3.7
10/26/2010	3.97	312343	4.05	4.07	3.95
10/25/2010	4.06	390509	4.07	4.12	4
10/22/2010	4.02	401378	4	4.07	3.98
10/21/2010	3.97	596033	4	4.05	3.88
10/20/2010	3.93	581923	3.82	3.98	3.82
10/19/2010	3.79	2441848	3.92	4.2	3.6801
10/18/2010	3.94	902606	3.57	3.96	3.57
10/15/2010	3.57	446993	3.7	3.7	3.55
10/14/2010	3.64	393743	3.6	3.68	3.55
10/13/2010	3.62	415633	3.56	3.64	3.54
10/12/2010	3.52	372729	3.48	3.58	3.41
10/11/2010	3.45	450498	3.49	3.52	3.42
10/8/2010	3.47	521907	3.35	3.49	3.32
10/7/2010	3.35	257003	3.33	3.38	3.28
10/6/2010	3.29	350175	3.33	3.3919	3.25
10/5/2010	3.35	328624	3.27	3.35	3.23
10/4/2010	3.24	307422	3.23	3.27	3.2
10/1/2010	3.25	262537	3.22	3.25	3.19
9/30/2010	3.21	264876	3.24	3.27	3.2
9/29/2010	3.23	262852	3.21	3.26	3.16
9/28/2010	3.22	197687	3.2	3.23	3.12
9/27/2010	3.19	251783	3.23	3.24	3.14
9/24/2010	3.22	302257	3.22	3.23	3.19
9/23/2010	3.2	300131	3.15	3.23	3.15
9/22/2010	3.19	256232	3.19	3.23	3.16
9/21/2010	3.2	346010	3.16	3.229	3.15
9/20/2010	3.17	533440	3.07	3.2	3.06
9/17/2010	3.0625	425898	3.08	3.12	3.04
9/16/2010	3.03	181883	3.04	3.08	3.03
9/15/2010	3.05	279949	3.07	3.13	3.021
9/14/2010	3.1	282452	3.16	3.16	3.08
9/13/2010	3.18	358963	3.13	3.19	3.13
9/10/2010	3.12	260324	3.09	3.15	3.07
9/9/2010	3.09	240106	3.07	3.1	3.04
9/8/2010	3.04	282136	2.97	3.05	2.97
9/7/2010	2.95	341649	2.86	3.0499	2.86
9/3/2010	2.95	419761	3.04	3.1	2.94
9/2/2010	3	264578	2.94	3	2.9
9/1/2010	2.93	465132	2.91	2.96	2.86
8/31/2010	2.86	313748	2.88	2.95	2.83
8/30/2010	2.87	376654	2.94	3.0105	2.87
8/27/2010	2.95	497131	2.92	2.96	2.86
8/26/2010	2.86	323268	2.9	2.9799	2.85
8/25/2010	2.91	598774	2.91	2.92	2.81
8/24/2010	2.95	1107454	3.03	3.07	2.92
8/23/2010	3.075	485563	3.18	3.2	3.07
8/20/2010	3.14	389375	3.18	3.19	3.1
8/19/2010	3.19	458920	3.22	3.24	3.12
8/18/2010	3.25	1110345	3.23	3.35	3.17
8/17/2010	3.22	313412	3.23	3.24	3.17
8/16/2010	3.17	447860	3.16	3.22	3.12
8/13/2010	3.09	304999	3.03	3.14	3.03
8/12/2010	3.05	261571	3.01	3.11	3.01
8/11/2010	3.06	399738	3.15	3.19	3.05
8/10/2010	3.22	380909	3.28	3.31	3.19
8/9/2010	3.27	648982	3.22	3.3	3.15
8/6/2010	3.18	343279	3.08	3.18	3.06
8/5/2010	3.07	685143	3.22	3.27	3.05
8/4/2010	3.22	354842	3.24	3.27	3.2
8/3/2010	3.22	213601	3.18	3.27	3.18
8/2/2010	3.2	496542	3.29	3.3295	3.19
7/30/2010	3.23	299825	3.16	3.3	3.16
7/29/2010	3.19	327618	3.19	3.29	3.17
7/28/2010	3.17	239562	3.18	3.26	3.17
7/27/2010	3.18	674970	3.35	3.359	3.15
7/26/2010	3.33	472616	3.29	3.35	3.2401
7/23/2010	3.28	577071	3.13	3.28	3.05
7/22/2010	3.16	825286	3.1	3.21	3.07
7/21/2010	3.07	280103	3.16	3.16	3.03
7/20/2010	3.12	230884	3.02	3.13	3
7/19/2010	3.05	339871	3.05	3.1	2.98
7/16/2010	3.04	397821	3.13	3.18	3.04
7/15/2010	3.15	229897	3.17	3.2199	3.11
7/14/2010	3.17	338694	3.24	3.26	3.12
7/13/2010	3.24	434450	3.18	3.25	3.09
7/12/2010	3.1	200052	3.16	3.27	3.1
7/9/2010	3.19	325172	3.12	3.24	3.1
7/8/2010	3.1	407287	3.17	3.174	3.05
7/7/2010	3.17	604861	3.03	3.18	2.99
7/6/2010	3.02	498834	3.11	3.12	2.98
7/2/2010	3.03	376468	3.14	3.14	3.01
7/1/2010	3.11	1247250	3.09	3.15	2.98
6/30/2010	3.09	682449	3.24	3.29	3.07
6/29/2010	3.23	465634	3.34	3.34	3.23
6/28/2010	3.43	733489	3.36	3.5	3.24
6/25/2010	3.4	807631	3.37	3.4	3.2635
6/24/2010	3.26	457501	3.25	3.37	3.22
6/23/2010	3.29	430620	3.17	3.31	3.17
6/22/2010	3.16	386913	3.35	3.38	3.16
6/21/2010	3.34	887511	3.54	3.56	3.23
6/18/2010	3.48	494039	3.54	3.5999	3.48
6/17/2010	3.51	319765	3.6	3.6	3.47
6/16/2010	3.59	932660	3.55	3.73	3.51
6/15/2010	3.44	486710	3.44	3.46	3.36
6/14/2010	3.38	368353	3.38	3.45	3.3101
6/11/2010	3.32	398577	3.23	3.32	3.2
6/10/2010	3.265	524343	3.18	3.3	3.15
6/9/2010	3.13	475754	3.25	3.29	3.11
6/8/2010	3.2	769875	3.24	3.3	3.07
6/7/2010	3.21	706106	3.49	3.49	3.2
6/4/2010	3.45	626864	3.57	3.65	3.43
6/3/2010	3.69	463182	3.52	3.7	3.5
6/2/2010	3.55	496264	3.4	3.55	3.37
6/1/2010	3.37	742065	3.43	3.57	3.37
5/28/2010	3.48	1058218	3.41	3.6	3.4
5/27/2010	3.39	758559	3.28	3.39	3.21
5/26/2010	3.17	847695	3.33	3.42	3.15
5/25/2010	3.28	1307083	3.17	3.33	3.1
5/24/2010	3.29	733033	3.32	3.45	3.29
5/21/2010	3.34	1317345	3.27	3.51	3.2
5/20/2010	3.34	1095173	3.5	3.55	3.34
5/19/2010	3.62	908606	3.76	3.78	3.51
5/18/2010	3.75	824560	3.93	3.98	3.73
5/17/2010	3.89	908485	3.92	3.92	3.65
5/14/2010	3.87	1440476	4	4	3.71
5/13/2010	4.05	3125027	3.76	4.08	3.76
5/12/2010	3.75	1097600	3.58	3.75	3.5
5/11/2010	3.55	956721	3.35	3.64	3.29
5/10/2010	3.36	633005	3.46	3.48	3.255
5/7/2010	3.17	921489	3.24	3.33	2.99
5/6/2010	3.17	1254326	3.42	3.45	3.04
5/5/2010	3.44	607947	3.49	3.49	3.33
